HJD	Relative_Flux	uFlux
2452791.26886400	1.00026800000000	0.000433000000000000
2452791.26931600	1.00012300000000	0.000433000000000000
2452791.26976700	1.00015900000000	0.000433000000000000
2452791.27021900	0.999518000000000	0.000433000000000000
2452791.27067000	0.999809000000000	0.000433000000000000
2452791.27112100	0.999645000000000	0.000433000000000000
2452791.27157300	0.999306000000000	0.000433000000000000
2452791.27202400	1.00051300000000	0.000433000000000000
2452791.27247600	1.00041100000000	0.000433000000000000
2452791.27292700	1.00081500000000	0.000433000000000000
2452791.27337900	0.999754000000000	0.000433000000000000
2452791.27383000	0.999770000000000	0.000433000000000000
2452791.27428100	0.999140000000000	0.000433000000000000
2452791.27473300	0.999923000000000	0.000433000000000000
2452791.27518400	1.00099200000000	0.000433000000000000
2452791.27563600	1.00054600000000	0.000433000000000000
2452791.27608700	0.999969000000000	0.000433000000000000
2452791.27653900	0.999911000000000	0.000433000000000000
2452791.27699000	1.00021500000000	0.000433000000000000
2452791.27744200	1.00021200000000	0.000433000000000000
2452791.27789300	1.00076800000000	0.000433000000000000
2452791.27834400	1.00050800000000	0.000433000000000000
2452791.27879600	0.999797000000000	0.000433000000000000
2452791.27924700	0.999833000000000	0.000433000000000000
2452791.27969800	1.00001900000000	0.000433000000000000
2452791.28015000	0.999688000000000	0.000433000000000000
2452791.28060200	0.999775000000000	0.000433000000000000
2452791.28105300	1.00015000000000	0.000433000000000000
2452791.28150400	1.00011200000000	0.000433000000000000
2452791.28195600	1	0.000433000000000000
2452791.28240700	0.999961000000000	0.000433000000000000
2452791.28285900	0.999372000000000	0.000433000000000000
2452791.28331000	1.00028700000000	0.000433000000000000
2452791.28376100	0.999758000000000	0.000433000000000000
2452791.28421300	0.999785000000000	0.000433000000000000
2452791.28466400	1.00010200000000	0.000433000000000000
2452791.28511600	1.00026400000000	0.000433000000000000
2452791.28556700	0.999632000000000	0.000433000000000000
2452791.28601900	0.999351000000000	0.000433000000000000
2452791.28647000	0.999969000000000	0.000433000000000000
2452791.28692100	1.00023400000000	0.000433000000000000
2452791.28737300	0.999655000000000	0.000433000000000000
2452791.28782400	0.999905000000000	0.000433000000000000
2452791.28827600	1.00059900000000	0.000433000000000000
2452791.28990800	1.00017500000000	0.000433000000000000
2452791.29035900	1.00011800000000	0.000433000000000000
2452791.29081100	1.00010800000000	0.000433000000000000
2452791.29126200	1.00018100000000	0.000433000000000000
2452791.29171400	0.999929000000000	0.000433000000000000
2452791.29216500	0.999923000000000	0.000433000000000000
2452791.29261600	0.999345000000000	0.000433000000000000
2452791.29306800	1.00001800000000	0.000433000000000000
2452791.29351900	0.999653000000000	0.000433000000000000
2452791.29397100	1.00065500000000	0.000433000000000000
2452791.29442200	1.00001400000000	0.000433000000000000
2452791.29487300	0.999432000000000	0.000433000000000000
2452791.29532500	0.999978000000000	0.000433000000000000
2452791.29577700	1.00022800000000	0.000433000000000000
2452791.29622800	0.999697000000000	0.000433000000000000
2452791.29667900	1.00021300000000	0.000433000000000000
2452791.29713100	0.999135000000000	0.000433000000000000
2452791.29758200	1.00023900000000	0.000433000000000000
2452791.29803300	0.999213000000000	0.000433000000000000
2452791.29848500	0.999999000000000	0.000433000000000000
2452791.29893600	1.00096400000000	0.000433000000000000
2452791.29938800	1.00025900000000	0.000433000000000000
2452791.33331400	0.987265000000000	0.000433000000000000
2452791.33376600	0.986438000000000	0.000433000000000000
2452791.33421700	0.986702000000000	0.000433000000000000
2452791.33466900	0.985893000000000	0.000433000000000000
2452791.33512000	0.986931000000000	0.000433000000000000
2452791.33557100	0.986168000000000	0.000433000000000000
2452791.33602300	0.986617000000000	0.000433000000000000
2452791.33647400	0.984752000000000	0.000433000000000000
2452791.33692600	0.985189000000000	0.000433000000000000
2452791.33737700	0.986014000000000	0.000433000000000000
2452791.33782900	0.984989000000000	0.000433000000000000
2452791.33828000	0.985593000000000	0.000433000000000000
2452791.33873100	0.985267000000000	0.000433000000000000
2452791.33918300	0.985306000000000	0.000433000000000000
2452791.33963400	0.985383000000000	0.000433000000000000
2452791.34008600	0.984419000000000	0.000433000000000000
2452791.34053700	0.986042000000000	0.000433000000000000
2452791.34098900	0.984648000000000	0.000433000000000000
2452791.34144000	0.984693000000000	0.000433000000000000
2452791.34189200	0.985336000000000	0.000433000000000000
2452791.34234300	0.985126000000000	0.000433000000000000
2452791.34279400	0.984868000000000	0.000433000000000000
2452791.34324600	0.985365000000000	0.000433000000000000
2452791.34369700	0.984789000000000	0.000433000000000000
2452791.34414800	0.985107000000000	0.000433000000000000
2452791.34460000	0.984217000000000	0.000433000000000000
2452791.34505100	0.984996000000000	0.000433000000000000
2452791.34550300	0.985662000000000	0.000433000000000000
2452791.34595400	0.985520000000000	0.000433000000000000
2452791.34640600	0.985246000000000	0.000433000000000000
2452791.34685700	0.984511000000000	0.000433000000000000
2452791.34730900	0.984822000000000	0.000433000000000000
2452791.34776000	0.984495000000000	0.000433000000000000
2452791.34821100	0.984544000000000	0.000433000000000000
2452791.34866300	0.984722000000000	0.000433000000000000
2452791.34911400	0.985010000000000	0.000433000000000000
2452791.34956600	0.984376000000000	0.000433000000000000
2452791.35001700	0.984473000000000	0.000433000000000000
2452791.35046900	0.983539000000000	0.000433000000000000
2452791.35092000	0.984324000000000	0.000433000000000000
2452791.35137100	0.984247000000000	0.000433000000000000
2452791.35182300	0.984945000000000	0.000433000000000000
2452791.35227400	0.984072000000000	0.000433000000000000
2452791.35272600	0.984160000000000	0.000433000000000000
2452791.35317700	0.983874000000000	0.000433000000000000
